EmployeeID,EmployeeName,City,Role,Department,Gender,Age,JoiningDate,EmploymentStatus,Salary,Shift
EMP0001,Rahul Gupta,Hyderabad,WM Technician,Operations,Male,49,2020-09-14,Active,24908,Evening
EMP0002,Sneha Singh,Hyderabad,AC Technician,Operations,Male,29,2023-04-08,Active,37032,Morning
EMP0003,Ravi Gupta,Hyderabad,AC Technician,Operations,Male,31,2020-12-16,Active,38576,Evening
EMP0004,Kavya Kumar,Hyderabad,Helper,Operations,Male,52,2026-03-19,Active,18166,Evening
EMP0005,Ravi Roy,Hyderabad,RF Technician,Operations,Male,43,2022-11-04,Active,28266,Evening
EMP0006,Ankit Roy,Hyderabad,AC Technician,Operations,Male,26,2026-07-11,Active,35447,Morning
EMP0007,Vijay Patel,Hyderabad,AC Technician,Operations,Male,31,2025-03-18,Active,41393,Evening
EMP0008,Ankit Singh,Hyderabad,AC Technician,Operations,Male,49,2020-05-31,Active,34807,Morning
EMP0009,Kavya Das,Hyderabad,Helper,Operations,Female,40,2023-06-24,Active,22222,Evening
EMP0010,Priya Das,Hyderabad,AC Technician,Operations,Male,32,2023-03-17,Active,35848,Morning
EMP0011,Neha Reddy,Hyderabad,WM Technician,Operations,Male,43,2024-11-24,Active,31286,Evening
EMP0012,Sneha Gupta,Hyderabad,Helper,Operations,Male,31,2025-07-25,Active,23669,Evening
EMP0013,Vijay Gupta,Hyderabad,Helper,Operations,Male,25,2024-10-04,Active,18646,Evening
EMP0014,Deepak Das,Hyderabad,WM Technician,Operations,Male,26,2020-11-23,Active,26686,General
EMP0015,Sneha Nair,Hyderabad,AC Technician,Operations,Male,47,2021-11-13,Active,41301,Evening
EMP0016,Ankit Sharma,Hyderabad,WM Technician,Operations,Male,42,2024-11-16,Active,26249,General
EMP0017,Vijay Kumar,Hyderabad,RF Technician,Operations,Male,45,2024-01-28,Active,36406,General
EMP0018,Arjun Roy,Hyderabad,AC Technician,Operations,Male,48,2020-05-22,Active,32068,Morning
EMP0019,Sneha Roy,Hyderabad,AC Technician,Operations,Male,22,2021-09-20,Active,41125,Evening
EMP0020,Sneha Reddy,Hyderabad,AC Technician,Operations,Male,24,2026-06-08,Active,32255,General
EMP0021,Vijay Nair,Hyderabad,AC Technician,Operations,Male,37,2022-10-19,Active,31858,Morning
EMP0022,Neha Singh,Hyderabad,AC Technician,Operations,Male,55,2021-04-27,Active,34288,Evening
EMP0023,Suresh Sharma,Hyderabad,RF Technician,Operations,Female,38,2025-07-04,Active,31279,Morning
EMP0024,Priya Roy,Hyderabad,WM Technician,Operations,Male,48,2020-12-25,Active,30639,General
EMP0025,Vijay Patel,Hyderabad,AC Technician,Operations,Male,55,2026-01-29,Active,34757,Evening
EMP0026,Suresh Singh,Hyderabad,WM Technician,Operations,Male,52,2022-07-07,Active,24994,Morning
EMP0027,Sneha Nair,Hyderabad,AC Technician,Operations,Male,21,2024-01-18,Active,39077,General
EMP0028,Ravi Das,Hyderabad,WM Technician,Operations,Male,55,2021-06-15,Active,29013,Morning
EMP0029,Ravi Patel,Hyderabad,WM Technician,Operations,Male,50,2025-11-23,Active,27365,Evening
EMP0030,Sneha Patel,Hyderabad,WM Technician,Operations,Female,24,2025-01-17,Active,27816,General
EMP0031,Anjali Gupta,Hyderabad,Helper,Operations,Female,55,2022-01-15,Active,24289,Morning
EMP0032,Deepak Patel,Hyderabad,RF Technician,Operations,Female,23,2021-05-23,Active,36488,Morning
EMP0033,Ravi Das,Hyderabad,AC Technician,Operations,Male,34,2023-11-18,Active,38501,Evening
EMP0034,Deepak Saha,Hyderabad,RF Technician,Operations,Male,55,2023-01-29,Active,30050,General
EMP0035,Suresh Patel,Hyderabad,WM Technician,Operations,Male,52,2021-11-21,Active,28848,General
EMP0036,Ravi Kumar,Hyderabad,RF Technician,Operations,Male,41,2026-04-27,Active,28674,Morning
